Data,NNKO,NNO,NNSW,NNZ,NNA,WIBOR6M_rate,WIG20,SPX,Gold,Bitcoin
2015-01-02,119.27,283.26,253.97,294.51,282.9,2.05,2309.39,2058.2,1187.4,315.21
2015-01-03,119.27,283.26,253.97,294.51,282.9,2.05,2309.39,2058.2,1187.4,287.13
2015-01-04,119.27,283.26,253.97,294.51,282.9,2.05,2309.39,2058.2,1187.4,264.72
2015-01-05,119.33,284.44,253.03,292.9,279.36,2.05,2264.75,2020.58,1204.54,274.84
2015-01-06,119.33,284.44,253.03,292.9,279.36,2.05,2264.75,2002.61,1218.53,282.27
2015-01-07,119.37,285.25,254.7,295.76,283.78,2.05,2307.46,2025.9,1211.19,291.34
2015-01-08,119.46,285.82,256.53,298.49,288.19,2.05,2361.48,2062.14,1208.76,282.69
2015-01-09,119.44,285.49,255.95,297.95,287.09,2.05,2337.21,2044.81,1220.73,287.97
2015-01-10,119.44,285.49,255.95,297.95,287.09,2.05,2337.21,2044.81,1220.73,273.35
2015-01-11,119.44,285.49,255.95,297.95,287.09,2.05,2337.21,2044.81,1220.73,264.77
2015-01-12,119.49,286.26,256.04,298.02,286.66,2.04,2330.04,2028.26,1233.16,269.33
2015-01-13,119.59,286.01,256.73,300.03,290.09,2.04,2367.65,2023.03,1230.68,221.29
2015-01-14,119.71,286.66,256.24,299.43,288.49,2.03,2336.66,2011.27,1228.61,164.92
2015-01-15,119.68,286.75,254.5,296.68,283.65,2.03,2265.21,1992.67,1262.38,209.78
2015-01-16,119.63,286.59,254.09,296.3,282.94,2.02,2252.33,2019.42,1275.25,206.92
2015-01-17,119.63,286.59,254.09,296.3,282.94,2.02,2252.33,2019.42,1275.25,199.65
2015-01-18,119.63,286.59,254.09,296.3,282.94,2.02,2252.33,2019.42,1275.25,210.62
2015-01-19,119.65,286.37,253.68,295.61,281.85,2.01,2255.12,2019.42,1276.68,215.87
2015-01-20,119.68,286.07,253.51,295.9,282.09,2.01,2242.42,2022.55,1293.87,210.55
2015-01-21,119.65,286.31,255.03,298.21,286.19,2.01,2287.86,2032.12,1292.62,228.17
2015-01-22,119.64,286.78,255.79,299.23,288.15,2.01,2319.45,2063.15,1302.0,232.7
2015-01-23,119.85,288.26,256.89,300.53,289.4,2.0,2319.59,2051.82,1293.82,232.17
2015-01-24,119.85,288.26,256.89,300.53,289.4,2.0,2319.59,2051.82,1293.82,248.16
2015-01-25,119.85,288.26,256.89,300.53,289.4,2.0,2319.59,2051.82,1293.82,252.09
2015-01-26,119.87,287.87,256.61,300.67,289.54,2.0,2307.29,2057.09,1281.03,269.18
2015-01-27,119.89,288.91,257.07,300.7,289.25,2.0,2309.86,2029.55,1292.35,263.27
2015-01-28,119.85,288.83,256.95,299.6,288.04,1.99,2319.18,2002.16,1283.14,236.17
2015-01-29,119.9,288.79,257.54,300.53,289.94,1.99,2340.77,2021.25,1258.1,233.99
2015-01-30,119.92,288.85,257.69,300.5,290.15,1.99,2341.0,1994.99,1283.8,231.84
2015-01-31,119.92,288.85,257.69,300.5,290.15,1.99,2341.0,1994.99,1283.8,218.51
2015-02-01,119.92,288.85,257.69,300.5,290.15,1.99,2341.0,1994.99,1283.8,225.29
2015-02-02,119.94,288.34,257.15,299.84,289.04,1.98,2330.14,2020.85,1273.67,238.86
2015-02-03,120.05,287.99,257.17,300.55,290.35,1.98,2335.42,2050.03,1260.23,227.41
2015-02-04,120.04,287.88,256.97,299.92,289.65,1.98,2341.68,2041.51,1268.82,226.58
2015-02-05,120.07,287.27,256.91,300.18,290.39,1.97,2341.58,2062.52,1264.28,216.52
2015-02-06,120.15,286.38,256.79,299.97,290.9,1.96,2354.47,2055.47,1235.26,222.96
2015-02-07,120.15,286.38,256.79,299.97,290.9,1.96,2354.47,2055.47,1235.26,227.68
2015-02-08,120.15,286.38,256.79,299.97,290.9,1.96,2354.47,2055.47,1235.26,223.67
2015-02-09,120.05,284.99,255.65,297.93,288.47,1.95,2339.79,2046.74,1238.62,220.34
2015-02-10,119.93,284.85,255.58,298.07,288.63,1.95,2340.12,2068.59,1233.4,219.67
2015-02-11,119.95,284.7,255.16,297.25,287.37,1.95,2323.5,2068.53,1217.88,218.83
2015-02-12,120.11,286.38,256.72,299.61,290.23,1.94,2338.37,2088.48,1221.99,221.79
2015-02-13,120.12,286.54,257.34,300.8,292.1,1.93,2346.95,2096.99,1228.44,236.17
2015-02-14,120.12,286.54,257.34,300.8,292.1,1.93,2346.95,2096.99,1228.44,258.64
2015-02-15,120.12,286.54,257.34,300.8,292.1,1.93,2346.95,2096.99,1228.44,233.27
2015-02-16,120.2,286.57,257.87,301.96,294.09,1.92,2362.0,2096.99,1230.7,235.83
