code,name,type,roi,roi_pa,std_p,min,median,max
NNKO,NN Parasol FIO Subfundusz Krótkoterminowych Obligacji A,fund,-2.37%,-2.37%,1.61%,-2.48%,1.41%,3.70%
NNO,NN Parasol FIO Subfundusz Obligacji A,fund,-13.14%,-13.14%,4.69%,-13.58%,-1.99%,3.84%
NNSW,NN Parasol FIO Subfundusz Stabilnego Wzrostu A,fund,-6.72%,-6.72%,6.31%,-7.70%,9.69%,12.95%
NNZ,NN Parasol FIO Subfundusz Zrównoważony A,fund,-2.36%,-2.36%,9.82%,-5.13%,20.78%,30.03%
NNA,NN Parasol FIO Subfundusz Akcji A,fund,5.12%,5.12%,14.09%,-2.55%,33.85%,58.69%
Portfel,Portfel,index,-0.80%,-0.80%,3.59%,-1.82%,7.91%,11.20%
WIBOR6M,WIBOR6M,index,1.89%,1.89%,0.46%,0.25%,0.30%,1.89%
WIG20,WIG20,index,1.96%,1.96%,12.72%,-6.22%,23.62%,58.65%
SPX,SPX,index,6.26%,6.26%,10.85%,4.93%,30.56%,49.41%
Gold,Gold,index,9.37%,9.37%,7.46%,-14.86%,-1.03%,21.76%
Bitcoin,Bitcoin,index,-21.22%,-21.22%,169.68%,-38.20%,254.83%,627.89%
